Image,Voltage,Strategy,Power(mW),Power_Saving(%),Distortion(%)
Image_10,12.0,both,758.23,38.78,3.8966
Image_10,11.0,none,525.15,57.6,7.2415
Image_10,11.0,brightness,557.54,54.98,6.5754
Image_10,11.0,contrast,570.48,53.94,6.3196
Image_10,11.0,both,603.6,51.26,5.6606
Image_10,10.0,none,390.35,68.48,9.2305
Image_10,10.0,brightness,418.19,66.23,8.5657
Image_10,10.0,contrast,428.73,65.38,8.3306
Image_10,10.0,both,456.25,63.16,7.6976
Image_10,9.0,none,272.96,77.96,11.3601
Image_10,9.0,brightness,292.55,76.38,10.7984
Image_10,9.0,contrast,299.87,75.79,10.5954
Image_10,9.0,both,319.02,74.24,10.0653
Image_11,15.0,none,1105.69,0.0,0.0
Image_11,15.0,brightness,1103.7,0.18,0.0878
Image_11,15.0,contrast,1103.7,0.18,0.0878
Image_11,15.0,both,1103.7,0.18,0.0878
Image_11,14.0,none,925.83,16.27,1.4723
Image_11,14.0,brightness,942.91,14.72,1.2245
Image_11,14.0,contrast,946.3,14.42,1.1813
Image_11,14.0,both,966.68,12.57,0.8959
Image_11,13.0,none,761.13,31.16,2.9784
Image_11,13.0,brightness,790.13,28.54,2.5231
Image_11,13.0,contrast,796.37,27.97,2.4303
Image_11,13.0,both,828.58,25.06,1.929
Image_11,12.0,none,611.6,44.69,4.5298
Image_11,12.0,brightness,647.05,41.48,3.9009
Image_11,12.0,contrast,653.15,40.93,3.8087
Image_11,12.0,both,690.0,37.6,3.1722
Image_11,11.0,none,477.23,56.84,6.1334
Image_11,11.0,brightness,511.68,53.72,5.4537
Image_11,11.0,contrast,517.89,53.16,5.3383
Image_11,11.0,both,553.33,49.96,4.6518
Image_11,10.0,none,358.03,67.62,7.7991
Image_11,10.0,brightness,387.6,64.94,7.1318
Image_11,10.0,contrast,392.53,64.5,7.0279
Image_11,10.0,both,421.82,61.85,6.3812
Image_11,9.0,none,253.99,77.03,9.5244
Image_11,9.0,brightness,274.84,75.14,9.0014
Image_11,9.0,contrast,278.17,74.84,8.903
Image_11,9.0,both,298.5,73.0,8.391
Image_12,15.0,none,1438.65,0.0,0.0
Image_12,15.0,brightness,1437.49,0.08,0.0533
Image_12,15.0,contrast,1437.49,0.08,0.0533
Image_12,15.0,both,1437.49,0.08,0.0533
Image_12,14.0,none,1197.13,16.79,1.8665
Image_12,14.0,brightness,1214.64,15.57,1.643
Image_12,14.0,contrast,1226.79,14.73,1.4805
Image_12,14.0,both,1248.09,13.25,1.2043
Image_12,13.0,none,976.41,32.13,3.7804
Image_12,13.0,brightness,1006.65,30.03,3.3408
Image_12,13.0,contrast,1026.29,28.66,3.0661
Image_12,13.0,both,1060.03,26.32,2.5816
Image_12,12.0,none,776.49,46.03,5.7519
Image_12,12.0,brightness,813.82,43.43,5.1427
Image_12,12.0,contrast,834.91,41.97,4.8185
Image_12,12.0,both,873.47,39.29,4.2027
Image_12,11.0,none,597.37,58.48,7.799
Image_12,11.0,brightness,633.48,55.97,7.136
Image_12,11.0,contrast,654.4,54.51,6.765
Image_12,11.0,both,691.69,51.92,6.0929
Image_12,10.0,none,439.06,69.48,9.933
Image_12,10.0,brightness,470.05,67.33,9.2759
Image_12,10.0,contrast,487.41,66.12,8.9241
Image_12,10.0,both,518.42,63.97,8.283
Image_12,9.0,none,301.54,79.04,12.186
Image_12,9.0,brightness,323.4,77.52,11.6435
Image_12,9.0,contrast,335.53,76.68,11.3493
Image_12,9.0,both,357.01,75.18,10.8255
Image_13,15.0,none,1310.28,0.0,0.0
Image_13,15.0,brightness,1308.96,0.1,0.0616
Image_13,15.0,contrast,1308.96,0.1,0.0616
Image_13,15.0,both,1308.96,0.1,0.0616
Image_13,14.0,none,1092.53,16.62,1.6377
Image_13,14.0,brightness,1112.8,15.07,1.3638
Image_13,14.0,contrast,1116.65,14.78,1.3316
Image_13,14.0,both,1138.91,13.08,1.0345
Image_13,13.0,none,893.41,31.82,3.3155
Image_13,13.0,brightness,926.36,29.3,2.8349
Image_13,13.0,contrast,933.02,28.79,2.7564
Image_13,13.0,both,966.92,26.2,2.2551
Image_13,12.0,none,712.92,45.59,5.0469
Image_13,12.0,brightness,752.62,42.56,4.3814
Image_13,12.0,contrast,758.03,42.15,4.3286
Image_13,12.0,both,795.52,39.29,3.7074
Image_13,11.0,none,551.05,57.94,6.8321
Image_13,11.0,brightness,589.4,55.02,6.1236
Image_13,11.0,contrast,593.82,54.68,6.0673
Image_13,11.0,both,629.58,51.95,5.4043
Image_13,10.0,none,407.82,68.88,8.6883
Image_13,10.0,brightness,440.38,66.39,8.0036
Image_13,10.0,contrast,443.3,66.17,7.963
Image_13,10.0,both,472.82,63.91,7.3374
Image_13,9.0,none,283.21,78.39,10.5956
Image_13,9.0,brightness,306.02,76.64,10.0731
Image_13,9.0,contrast,307.67,76.52,10.0245
Image_13,9.0,both,328.22,74.95,9.5473
Image_14,15.0,none,1175.37,0.0,0.0
Image_14,15.0,brightness,1174.11,0.11,0.0587
Image_14,15.0,contrast,1174.11,0.11,0.0587
Image_14,15.0,both,1174.11,0.11,0.0587
Image_14,14.0,none,982.6,16.4,1.4863
Image_14,14.0,brightness,1003.41,14.63,1.2067
Image_14,14.0,contrast,1004.8,14.51,1.1949
Image_14,14.0,both,1028.26,12.52,0.8855
Image_14,13.0,none,806.18,31.41,3.0077
Image_14,13.0,brightness,840.11,28.52,2.5113
Image_14,13.0,contrast,844.15,28.18,2.4596
Image_14,13.0,both,881.37,25.01,1.9123
Image_14,12.0,none,646.11,45.03,4.5744
Image_14,12.0,brightness,687.32,41.52,3.8879
Image_14,12.0,contrast,690.85,41.22,3.8507
Image_14,12.0,both,733.49,37.6,3.155
Image_14,11.0,none,502.37,57.26,6.1947
Image_14,11.0,brightness,542.43,53.85,5.4504
Image_14,11.0,contrast,546.14,53.53,5.396
Image_14,11.0,both,587.52,50.01,4.6369
Image_14,10.0,none,374.98,68.1,7.8768
Image_14,10.0,brightness,409.23,65.18,7.1475
Image_14,10.0,contrast,412.21,64.93,7.0998
Image_14,10.0,both,446.85,61.98,6.3759
